2021-03-01 11:21:36.646 [main] INFO  top.anets.EinvoiceApplication - Starting EinvoiceApplication on WIN-3DFGP6SS4I1 with PID 13296 (D:\eclipse-sts\workspace\tmooc\E-invoice\target\classes started by Administrator in D:\eclipse-sts\workspace\tmooc\E-invoice)
2021-03-01 11:21:36.651 [main] INFO  top.anets.EinvoiceApplication - The following profiles are active: dev
2021-03-01 11:21:40.031 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-01 11:21:40.034 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-03-01 11:21:40.321 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 250ms. Found 0 repository interfaces.
2021-03-01 11:21:41.085 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 11:21:41.158 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [top.anets.redis.RedisConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 11:21:41.162 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisPoolConfig' of type [top.anets.redis.RedisPoolConfig$$EnhancerBySpringCGLIB$$ddd27c19] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 11:21:41.193 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jedisPool' of type [redis.clients.jedis.JedisPool] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 11:21:41.195 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisService' of type [top.anets.redis.RedisService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 11:21:41.735 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 2000 (http)
2021-03-01 11:21:41.751 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-2000"]
2021-03-01 11:21:41.753 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-01 11:21:41.753 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-03-01 11:21:42.013 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-01 11:21:42.013 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5218 ms
2021-03-01 11:21:42.687 [main] INFO  top.anets.config.JCoDestinationPool - SAP测试环境》》》》》》》》》》》》》
2021-03-01 11:21:42.689 [main] INFO  top.anets.config.JCoDestinationPool - ==========================================
2021-03-01 11:22:03.808 [main] INFO  top.anets.config.JCoDestinationPool - Destination - ABAP_AS2 is invalidInitialization of destination ABAP_AS2 failed: Connect to SAP gateway failed
Connection parameters: TYPE=A DEST=ABAP_AS2 ASHOST=192.168.200.61 SYSNR=00 PCS=1

LOCATION    CPIC (TCP/IP) on local host with Unicode
ERROR       partner '192.168.200.61:3300' not reached
TIME        Mon Mar 01 11:22:03 2021
RELEASE     721
COMPONENT   NI (network interface)
VERSION     40
RC          -10
MODULE      nixxi.cpp
LINE        3283
DETAIL      NiPConnect2: 192.168.200.61:3300
SYSTEM CALL connect
ERRNO       10060
ERRNO TEXT  WSAETIMEDOUT: Connection timed out
COUNTER     2

2021-03-01 11:22:06.031 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-01 11:22:06.926 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2021-03-01 11:22:07.140 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-2000"]
2021-03-01 11:22:07.190 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 2000 (http) with context path ''
2021-03-01 11:22:07.196 [main] INFO  top.anets.EinvoiceApplication - Started EinvoiceApplication in 31.661 seconds (JVM running for 35.704)
2021-03-01 11:25:15.560 [http-nio-2000-exec-10] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1614225406,1614320687,1614569111; Hm_lpvt_7174bade1219f9cc272e7978f9523fc8=1614569111] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2021-03-01 11:25:15.598 [http-nio-2000-exec-10] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-01 11:25:15.598 [http-nio-2000-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-01 11:25:15.720 [http-nio-2000-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 122 ms
2021-03-01 11:25:30.025 [http-nio-2000-exec-9] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-03-01 11:25:34.469 [http-nio-2000-exec-6] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 走缓存线路
2021-03-01 11:25:34.610 [http-nio-2000-exec-6] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 01
2021-03-01 11:26:10.538 [http-nio-2000-exec-7] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整组开具:0000009283/101
2021-03-01 13:34:12.044 [http-nio-2000-exec-4] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整组开具:0000009283/101
2021-03-01 13:41:13.794 [RMI TCP Connection(7)-127.0.0.1] INFO  org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2021-03-01 13:41:13.797 [RMI TCP Connection(8)-127.0.0.1] INFO  org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2021-03-01 13:41:13.799 [RMI TCP Connection(7)-127.0.0.1] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2021-03-01 13:41:13.802 [RMI TCP Connection(7)-127.0.0.1] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-01 13:41:13.810 [RMI TCP Connection(7)-127.0.0.1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-03-01 13:41:23.891 [main] INFO  top.anets.EinvoiceApplication - Starting EinvoiceApplication on WIN-3DFGP6SS4I1 with PID 18052 (D:\eclipse-sts\workspace\tmooc\E-invoice\target\classes started by Administrator in D:\eclipse-sts\workspace\tmooc\E-invoice)
2021-03-01 13:41:23.895 [main] INFO  top.anets.EinvoiceApplication - The following profiles are active: dev
2021-03-01 13:41:25.308 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-01 13:41:25.311 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-03-01 13:41:25.444 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 106ms. Found 0 repository interfaces.
2021-03-01 13:41:26.056 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 13:41:26.127 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [top.anets.redis.RedisConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 13:41:26.129 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisPoolConfig' of type [top.anets.redis.RedisPoolConfig$$EnhancerBySpringCGLIB$$32d895e1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 13:41:26.150 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jedisPool' of type [redis.clients.jedis.JedisPool] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 13:41:26.152 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisService' of type [top.anets.redis.RedisService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 13:41:26.545 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 2000 (http)
2021-03-01 13:41:26.557 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-2000"]
2021-03-01 13:41:26.558 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-01 13:41:26.558 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-03-01 13:41:26.947 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-01 13:41:26.947 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2930 ms
2021-03-01 13:41:27.362 [main] INFO  top.anets.config.JCoDestinationPool - SAP测试环境》》》》》》》》》》》》》
2021-03-01 13:41:27.362 [main] INFO  top.anets.config.JCoDestinationPool - ==========================================
2021-03-01 13:41:48.513 [main] INFO  top.anets.config.JCoDestinationPool - Destination - ABAP_AS2 is invalidInitialization of destination ABAP_AS2 failed: Connect to SAP gateway failed
Connection parameters: TYPE=A DEST=ABAP_AS2 ASHOST=192.168.200.61 SYSNR=00 PCS=1

LOCATION    CPIC (TCP/IP) on local host with Unicode
ERROR       partner '192.168.200.61:3300' not reached
TIME        Mon Mar 01 13:41:48 2021
RELEASE     721
COMPONENT   NI (network interface)
VERSION     40
RC          -10
MODULE      nixxi.cpp
LINE        3283
DETAIL      NiPConnect2: 192.168.200.61:3300
SYSTEM CALL connect
ERRNO       10060
ERRNO TEXT  WSAETIMEDOUT: Connection timed out
COUNTER     2

2021-03-01 13:41:49.814 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-01 13:41:50.582 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2021-03-01 13:41:50.677 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-2000"]
2021-03-01 13:41:50.715 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 2000 (http) with context path ''
2021-03-01 13:41:50.719 [main] INFO  top.anets.EinvoiceApplication - Started EinvoiceApplication in 27.937 seconds (JVM running for 31.16)
2021-03-01 13:42:44.173 [http-nio-2000-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1614225406,1614320687,1614569111; Hm_lpvt_7174bade1219f9cc272e7978f9523fc8=1614577360] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2021-03-01 13:42:44.196 [http-nio-2000-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-01 13:42:44.197 [http-nio-2000-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-01 13:42:44.208 [http-nio-2000-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2021-03-01 13:42:46.112 [http-nio-2000-exec-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-03-01 13:42:57.210 [http-nio-2000-exec-4] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:0000009283
2021-03-01 13:42:57.289 [http-nio-2000-exec-4] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址:E:/zhys/e-invoice/service/access/2000.pfx
2021-03-01 13:42:57.289 [http-nio-2000-exec-4] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码:71817N
2021-03-01 13:42:57.292 [http-nio-2000-exec-4] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>0000009283101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35687063</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 13:42:57.295 [http-nio-2000-exec-4] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
